Name,Status,Fermi Energie (eV),DOS @ Fermi,Metall?,Min Freq (THz),Stabilität,Lambda,Omega_log (K),Tc (K),Timestamp
01_HfH3_Top1,Fertig (Isolator),8.6779,-0.0,NEIN,-,-,,,,2026-04-02 09:46
01_K7SrMg4AlB15H64,SKIPPED (Permanent Crash),-,-,-,-,-,,,,2026-03-24 13:19
01_LiTaH6Ru,Fertig (Isolator),11.6038,-0.4188,NEIN,-,-,,,,2026-04-02 09:46
01_SrMgGaB3H16,Fertig (Isolator),-1.5695,-0.0,NEIN,-,-,,,,2026-04-02 09:46
02_K3Sr4TaGaB11H48,Rechnet SCF...,-,-,-,-,-,,,,2026-04-02 10:56
02_K4BaGd2AlBH412,SKIPPED (OOM Limit),-,-,-,-,-,,,,2026-04-01 16:33
02_Rb3BaCaGa3H16,SKIPPED (Phonon Crash),5.136,7.061,JA,-,Unbekannt,,,,2026-03-24 13:20
03_Hf2ZnB3H16,Fertig (Isolator),4.8161,0.0,NEIN,-,-,,,,2026-04-01 16:34
03_LaH32S15,Fertig (Isolator),2.5163,0.0,NEIN,-,-,,,,2026-04-01 16:34
03_Mg7ScH16,Fertig (Metall),7.3531,0.6594,JA,-20.840243,INSTABIL,,,,2026-04-01 16:34
03_TiH2,SKIPPED (OOM Limit),12.1803,1.506,JA,-,Unbekannt,,,,2026-04-01 16:34
04_K4SrLi2AlH12,Fertig (Metall),-0.1485,4.52,JA,-2.404224,INSTABIL,,,,2026-04-01 16:34
04_La7YMgB23H96,SKIPPED (OOM Limit),-,-,-,-,-,,,,2026-04-01 16:35
04_Li5YTaBe5H18,Fertig (Isolator),4.1186,0.0,NEIN,-,-,,,,2026-04-01 16:35
04_LiMgAl2H92,Fertig (Isolator),-0.4804,0.0,NEIN,-,-,,,,2026-04-01 16:35
05_HfTiBH42,Fertig (Metall),14.4022,0.9265,JA,-55.989224,INSTABIL,,,,2026-04-01 16:35
05_K4MgB3H16,Fertig (Isolator),1.9394,0.0,NEIN,-,-,,,,2026-04-01 16:35
05_Rb4Y4ScB15H64,SKIPPED (OOM Limit),-,-,-,-,-,,,,2026-04-01 16:36
05_ZrScH12,Fertig (Metall),4.1985,0.5212,JA,-428.121879,INSTABIL,,,,2026-04-01 16:36
06_CaLa8YB11H482,SKIPPED (OOM Limit),-,-,-,-,-,,,,2026-04-01 16:37
06_EuGaH4,Fertig (Metall),11.0653,0.6396,JA,-29.850576,INSTABIL,,,,2026-04-01 16:37
06_LiMg4Ga3H20,SKIPPED (OOM Limit),-0.3101,4.242,JA,-,-,,,,2026-04-01 16:37
06_ZrH6Pt,SKIPPED (OOM Limit),-,-,-,-,-,,,,2026-04-01 16:37
07_KBaLaGd2B7H32,SKIPPED (OOM Limit),-,-,-,-,-,,,,2026-04-01 16:38
07_LiMg3H8,Fertig (Metall),4.8085,1.271,JA,-4.715159,INSTABIL,,,,2026-04-01 16:38
07_TiH2,SKIPPED (OOM Limit),12.1674,1.445,JA,-,-,,,,2026-04-01 16:38
08_Li5Al3H16,Fertig (Isolator),-0.9924,0.0,NEIN,-,-,,,,2026-04-01 16:38
08_LiScH6Pt,SKIPPED (OOM Limit),9.9371,0.8908,JA,-,-,,,,2026-04-01 16:39
08_YMg5TaReH14,Fertig (Metall),8.6337,7.009,JA,-11.637765,INSTABIL,,,,2026-04-01 16:39
09_MgTiBH44,Fertig (Metall),4.0037,11.62,JA,-10.051103,INSTABIL,,,,2026-04-01 16:39
09_Li2MgZrH6,Fertig (Isolator),7.256,0.0,NEIN,-,-,,,,2026-04-01 16:39
09_SrLi5BH62,Fertig (Isolator),4.1747,0.0,NEIN,-,-,,,,2026-04-01 16:39
10_HfTh3TiH38,SKIPPED (OOM Limit),-,-,-,-,-,,,,2026-04-01 16:39
10_Li2HfMgH6,Fertig (Isolator),8.1558,-0.0,NEIN,-,-,,,,2026-04-01 16:39
10_Mg4ZrGa3H20,SKIPPED (OOM Limit),3.6541,3.73,JA,-,-,,,,2026-04-01 16:40
07_K4Sr4LaB11H48,Fertig (Isolator),2.131,0.0,NEIN,-,-,,,,2026-04-01 16:37
10_TaTiH6Ru,"SKIPPED (Phonon OOM, Phase El-Ph)",13.8939,0.2695,JA,-,-,,,,2026-04-01 16:40
02_BaMg3H8,SKIPPED (Phonon Crash),7.6266,0.2343,JA,3.654379,STABIL,,,,2026-04-02 10:56
08_Ti3GaH7,SKIPPED (OOM Limit),-,-,-,-,-,,,,2026-04-01 16:39
09_Sr3ZrAlH54,SKIPPED (OOM Limit),-,-,-,-,-,,,,2026-04-01 16:39
